Calculated optimized lattice constant using variable cell approach:

Structure              a              c                  a/c
   Tc2Sn2     4.610906397     3.282659088  0.711933577775
   Co2Ir2     3.764173768     3.619666946  0.961609949246
   Sc2Cd2     4.997616391     3.588184224  0.717979121099
    W2Ir2     3.927851445     3.938498729   1.00271071453
   Nb2Pd2     4.003106440     4.142085739   1.03471786251
   Tc2Ir2     3.850029941     3.902404631   1.01360370979
   Sc2Hg2     5.014770738     3.553034267  0.708513799061
   La2Pb2     5.275383835     4.679281475  0.887003035486
   La2Ag2     5.416478710     3.897344809  0.719534778528
    V2Bi2     4.845160785     3.428462726  0.707605563187
   Cu2Tl2     4.855851829     3.531131877  0.727191026693
    Rh2W2     3.903631343     3.944373189   1.01043690923
   Zn2Ru2     4.245414342     3.033789036  0.714603756337
   In2Tl2     4.833422425     5.264175810   1.08911974728
   Ir2Pb2     4.599285138     3.779886248  0.821842119935
   Ru2Hg2     4.233363255     3.937129849  0.930024099479
   Ta2Au2     4.124237846     4.184607886   1.01463786577
   Al2Pt2     4.381974253     3.087648607  0.704624999767
    Al2Y2     5.080260800     3.596200337  0.707877110758
    Mo2W2     3.778458750     4.579108518   1.21189850703
   Tc2Hf2     4.614562527     3.266996347  0.707975312478
   Cr2Mn2     3.990327967     2.822898078  0.707435103416
   Ti2Mn2     4.217763352     2.982840409  0.707209048982
    Co2Y2     4.756776085     3.365374102  0.707490544407
   Cu2Pb2     5.092675335     3.303169701  0.648611875628
   Mn2La2     5.292477020     3.747310492  0.708044735544
   Cr2La2     5.039203512     3.567892993  0.708027168282
     V2Y2     4.650540472     4.046984810  0.870218168053
   Fe2Ga2     3.746708130     3.725618184  0.994371073148
   Ti2Tc2     4.392836602     3.108826023  0.707703542077
   Sn2Ir2     4.417682306     3.669423938  0.830621960528
   Ti2Ru2     4.095137543     3.173648078  0.774979605612
   Al2Ta2     4.009407842     4.164962583   1.03879743521
    V2Tl2     4.214965343     4.233096236   1.00430155209
   Zn2Os2     3.772123491     4.066416504    1.0780178628
   Fe2Hf2     4.435488943     3.137334781  0.707325578153
   Sc2Tc2     4.593697859     3.251722411  0.707865974387
   Mo2Ir2     3.914364872     3.925485638   1.00284101415
   Nb2Bi2     4.987897177     3.527786443  0.707269279581
   Cu2In2     4.471860672     3.648394867  0.815856113283
   Zr2Cd2     4.428069310     4.451181296   1.00521942734
   Mo2Rh2     3.890189682     3.933841636   1.01122103485
    V2Sn2     4.388287000     3.737729117   0.85175129088
   Tc2Ag2     3.736497809     4.616076266   1.23540183936
   Mn2Cu2     4.225891274     3.042461393  0.719957328699
   Al2Pd2     4.362353996     3.095532166  0.709601322781
   Ni2Os2     3.700730806     3.721157507   1.00551963979
   Re2Os2     3.882760417     3.883679068   1.00023659739
   Ru2Pb2     4.750848945     3.361442246  0.707545595517
   Ni2Bi2     4.735026681     3.574953541  0.755001773347
   La2Ir2     5.105417472     3.631669684  0.711336478146
   Hf2Os2     4.603940334     3.255446213  0.707100000614
   Cr2Ga2     3.683458231     3.909070038   1.06124999738
   Fe2Zn2     3.648967812     3.873425508   1.06151265442
   Cu2Zn2     3.927974989     3.433386539   0.87408564174
    W2Bi2     4.874883772     3.451035335  0.707921562114
   Ru2Rh2     3.820052179     3.869911329   1.01305195523
   Cr2Hg2     3.989817743     4.184603173   1.04882063356
